ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,prog_ent_max,prog_ent_min,prog_ent_xmin,prog_ent_int,prog_ent_grad,eff_dcfl,eff_dcff,cpress_term,ent_fac_sh,orig_mdet_fac,r_det,cca_md_knob,mparwtr,qlmin,stag_dropoff,cape_timescale,efrac,thpixs_mid,c_mass_sh,gwd_frc,fbcd,gsharp,nsigma,nsigmasf,fcrit,ez_max_bm,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,a_ent_2,dec_thres_cloud,par_mezcla_rp,lambda_min_rp,near_neut_z_on_l,tke_diag_fac,cbl_mix_fac_nml,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,aut_qc,m_ci_rp,ai,x1r,ar,mp_dz_scal,param_mp_czero,param_mp_tau_lim,qclrime,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,sea_salt_ems_scaling,ps_acc_cor_scav,ps_natl_dms_emiss,marine_pom_ems_scaling,ps_dry_depvel_acc,ps_bc_refrac_im,aparam,liu_latent,bparam,u10_max_coare,rho_snow_fresh,a_snow_et,rho_snow_et_crit_delta,rho_snow_et_crit,can_clump_broadleaf,can_clump_needleleaf,tupp_io,f0_io,z0v_io,nl0_io,rootd_ft_io,n_lai_exposed3and4,fsmc_p0_io,gs_nvg_io
Experiment,,1,1,89,1.509621083,0.612826211,-3.522168806,-1.664637669,-0.646608384,0.935726252,6.888975099,0.098720553,1.766563312,2.896387356,0.524368714,0.233188057,0.001448937,0.00063045,4.404773118,6573.907561,0.87088091,0.628753866,0.031368908,2.667041819,4.582427091,0.11784904,2.737313695,3.130154944,1.279372387,493.7214354,20.88468173,0.478819842,0.434394481,0.156459061,0.578218269,0.006684474,0.084047142,0.172878483,46.10092882,1.858570953,1.311618284,0.543103853,4.13E-05,1.82784691,11382.48497,0.017141039,0.96417151,2.454796806,0.716880315,0.043107036,0.159155243,0.160807272,0.909486653,4.485300441,2308.106716,0.000630824,0.914875827,1.154356798,0.945479306,2.959605115,2.367059973,0.989566521,1.015098697,0.684716456,5.051557071,0.687177333,0.095858243,-0.006338143,-0.137193608,19.79901024,140.1468807,4.73E-06,43.12821913,183.2750999,7.524994607,5.023169224,31.8723732,0.945607998,1.069718526,0.04750754,1.476805872,1.11194381,0.329330687,0.016605151
Experiment,,1,1,90,2.22655899,0.39438135,-3.228498324,-3.12532098,-1.090197974,2.831080798,8.432134002,0.435942195,0.898385972,0.736532855,0.9485234,0.464689172,0.001062025,0.00015714,1.945661741,1645.981938,0.924460821,0.309617236,0.029610378,3.11028007,5.764671607,1.157689505,3.15990613,2.381424693,1.37948973,367.8992708,17.18997864,0.581734289,0.728369811,0.195159765,0.721242612,0.065297471,0.120676506,0.299276873,79.80716603,3.521776962,1.371616582,0.213585664,7.66E-05,1.170328637,6869.478814,0.044137016,0.331554071,2.730891018,1.576438935,0.015218136,0.237349209,0.331242585,2.208839715,11.81089082,1407.016561,0.00031103,1.157132335,1.839553269,1.226784878,0.758602179,1.613537903,1.905229109,1.774287315,0.829534945,4.835951131,0.819347388,0.031665558,0.004455004,-0.166007347,22.37240153,112.8235072,3.43E-06,42.47444635,155.2979536,3.430589809,4.054729447,34.5578445,0.666581627,1.552090712,0.025650423,3.779094307,3.00364861,0.712425558,0.015426463
Experiment,,1,1,91,2.410408391,0.342097675,-3.40116381,-4.323026922,-1.371625966,2.9905183,6.833692743,0.762869563,1.045243645,2.038132136,0.832496539,0.782418757,0.001824712,0.000737862,1.208150212,3750.919228,0.725156294,0.466081635,0.038261351,4.503601686,1.322400652,1.785637298,2.208257271,3.304912429,0.652046769,412.6991995,26.9350665,0.371263238,0.099081246,0.346158433,1.279281164,0.009096373,0.276944098,0.021067205,5.617921262,3.109232816,0.926317301,0.459328815,0.000382596,1.749283307,7140.042806,0.733996792,0.649198336,2.522495276,1.045340017,0.016045023,0.169290333,0.463948405,0.863621924,6.335952276,2551.514296,0.000527893,1.042456023,4.279440638,1.060677199,2.468936091,1.169851193,1.883052844,1.91036454,1.130198511,5.191749389,0.9598939,0.097989248,0.003942545,-0.125598089,18.19003376,120.7142185,3.30E-06,24.39999059,145.1142091,2.994113801,5.683132394,33.87127515,0.8262431,1.259821565,0.077568099,4.19332898,3.732372906,0.576070532,0.010663002
Experiment,,1,1,92,2.511159825,0.462735463,-3.387186542,-4.096289218,-1.345962091,1.470074153,5.398008864,0.68631239,0.370960732,1.507074721,0.861374695,0.702389039,0.001260401,0.000387553,1.295776716,3294.901638,0.697590057,0.814866027,0.037584965,1.265334739,2.429521906,0.37958835,1.62544645,3.04044377,2.544450773,319.7349651,30.61336584,0.326654705,0.471161576,0.241508678,0.892532069,0.037674957,0.15561452,0.258997133,69.06590213,3.34851386,1.086545573,0.175137874,0.000449366,1.655812599,17886.32496,0.325977432,0.392065347,2.603387952,0.452667251,0.040493133,0.188478578,0.388559748,2.430713371,5.870259794,4004.737033,0.000110386,0.98923953,0.473711734,0.790631647,2.489346478,2.487654701,0.997807356,0.606712121,1.741475461,0.992847103,0.653284188,0.098129144,-0.006769825,-0.136224143,21.03980689,101.722507,2.94E-06,22.66232543,124.3848324,4.823219422,7.35946605,30.09592477,0.752258831,0.712305986,0.077746517,0.563800859,0.848469449,0.374877472,0.010190926
Experiment,,1,1,93,2.077390429,0.357781594,-3.049707375,-2.462672719,-0.92482785,3.360053554,2.400307473,0.592027142,1.064716973,2.542256821,0.600060044,1.845704229,0.001747716,0.00065299,4.326305473,3782.527022,0.766584666,0.597237176,0.010409063,3.982793084,7.523472887,1.46411406,2.766245225,3.082670768,0.800916786,420.7427897,44.9104956,0.2226651,0.198984788,0.317212854,1.172308372,0.059838156,0.061328353,0.151758691,40.4689844,3.627897581,1.82357136,0.222124598,0.000259247,1.398390557,21670.34657,0.61357859,0.584044205,2.533289362,0.708716159,0.031509313,0.161751787,0.451871937,2.021198463,7.033725102,943.0494738,0.000218954,0.970192581,0.734734267,0.931411841,2.755643211,1.337897216,1.749812763,1.315641216,1.31665561,3.88764442,0.439586872,0.061281449,0.000535672,-0.151653674,20.26014786,83.61428539,4.93E-06,36.14177704,119.7560624,2.868566602,4.714642442,31.00130799,0.880772091,1.503935912,0.01803934,0.866991322,1.929454721,0.064545402,0.013482256
Experiment,,1,1,94,1.747725851,0.483380738,-2.892410969,-1.329999386,-0.626944146,2.069534073,2.464189738,0.786783519,1.185115682,3.485142445,0.336384553,0.465982659,0.001621895,0.000492828,2.774090907,1197.975498,0.824003048,0.134774257,0.031895043,3.206002384,3.844720892,1.923325965,1.954288268,3.292753579,2.0302342,413.9796178,14.33857832,0.697419212,0.821871309,0.109484314,0.404615944,0.01710042,0.14322899,0.284688039,75.91681043,1.418586275,2.258754634,0.184927538,0.000747925,1.220822284,15290.18987,0.688690036,0.664503953,3.001241486,1.255209386,0.037331847,0.234469387,0.118725393,1.786819163,10.62684724,3788.384232,0.000539316,0.848971982,0.410447196,1.271902367,1.242704663,2.048483726,0.890766915,1.805826244,1.39949258,4.33861323,0.471736299,0.057755994,-0.002520634,-0.156885186,21.08458939,102.2252141,5.49E-06,53.22161814,155.4468322,3.510915295,7.84730599,34.11353401,0.846263378,0.772686006,0.078616523,4.653888098,2.447635273,0.189132243,0.01353962
Experiment,,1,1,95,2.328056376,0.469229247,-2.723601345,-1.847279722,-0.850531585,3.449067793,3.014499762,0.553313111,0.810051844,0.668880096,0.800231119,1.623592812,0.001223295,0.000179954,1.589978599,2667.785078,0.87148228,0.074551723,0.042677763,6.759030713,4.400211819,1.746402651,2.556350753,3.997125668,2.129729406,352.296471,28.93570315,0.345593814,0.403634877,0.338745185,1.251884379,0.021091825,0.112360517,0.204995075,54.66535326,3.909518673,1.13884996,0.415131215,0.000834885,1.743473395,21965.17021,0.589312106,0.281184087,2.754795131,1.096232901,0.030917699,0.403217871,0.342657316,1.106251336,9.381509717,1026.360665,0.000195573,1.208367158,1.352482657,1.240765698,1.503852467,2.947787174,1.162029679,1.283852066,2.151080844,3.241460073,0.499439176,0.048333642,-0.000731261,-0.160909405,18.91326001,121.8017371,1.47E-06,22.76861611,144.5703533,6.746365479,8.85593741,35.41305861,0.785931973,1.159535945,0.029217466,0.978604769,0.818776503,0.608737442,0.015776382
Experiment,,1,1,96,1.974500689,0.602867322,-3.478265233,-2.731506503,-0.958631272,1.411101673,2.943113867,0.584758981,0.844512042,1.006503371,0.472278961,0.620045792,0.001350928,0.000979665,1.568800987,5932.926689,0.990797665,0.615904992,0.032599573,1.966764205,0.477481492,1.756436383,2.311804662,1.715764623,4.482166383,390.9902899,17.32830714,0.577090417,0.749203775,0.38553023,1.424785632,0.040539556,0.236498236,0.291400296,77.70674572,1.348440676,0.834011534,0.334571227,0.00035336,1.125197921,16269.83032,0.11221374,0.629182207,2.452531596,1.652232909,0.051316182,0.336878651,0.411482858,2.719217904,4.719812057,2453.626446,0.000660747,0.890760081,0.467191167,0.834155587,2.353938081,2.350680656,1.818677404,1.296955755,2.892663461,7.306974728,0.54043409,0.031949386,0.003609693,-0.166677535,23.14162911,110.0126128,4.52E-06,56.70403076,166.7166435,7.640167289,6.728040064,33.09275859,0.79634913,0.690495047,0.067147551,1.72353346,2.02934054,0.536027452,0.009248057
Experiment,,1,1,97,2.736399223,0.699750442,-2.900173853,-2.240459656,-1.013804774,2.974281011,1.300390127,0.169907157,1.362793228,3.228244581,0.629908161,1.482170824,0.001292577,0.000783182,2.599070777,1610.989966,0.888680418,0.660381948,0.044373847,1.096669684,4.520760021,2.077110761,3.779150446,2.458779274,1.395324665,465.8219947,39.17591059,0.255258904,0.690197603,0.04700354,0.173708733,0.062387638,0.052426218,0.206903976,55.17439356,2.00435475,2.504001738,0.229898251,0.000136284,1.134775649,16740.73306,0.19275203,0.556542761,2.949225898,1.344264921,0.031256306,0.378391338,0.726546246,1.899442484,7.381967912,3212.93309,0.000355351,0.948955247,0.652508219,1.04438839,1.182400386,1.549503065,1.598980685,1.17413333,1.733904859,3.737700477,1.093087665,0.035538626,-0.004101775,-0.172174443,15.96103085,132.9803472,4.38E-06,50.81606872,183.7964159,4.394479872,6.037316339,36.69216892,0.863299646,1.824650681,0.029447973,0.725436561,1.59667158,0.039998129,0.006857705
Experiment,,1,1,98,2.827385549,0.68227419,-3.567552877,-5.022225574,-1.598995154,2.778309669,4.782098364,0.471554711,0.71916657,1.607012217,0.92227525,1.433074676,0.001573782,0.000280357,1.088212742,4371.422483,0.440799291,0.235558201,0.023119533,1.701062461,8.34550241,0.166665141,2.003831562,1.570952973,1.98376355,397.5719879,32.56236647,0.307102987,0.333486263,0.098384394,0.363594501,0.002118848,0.027248156,0.389222976,103.7927936,5.027662019,1.383950584,0.681270439,0.000357424,1.851052512,20877.63552,0.956086861,0.219884255,2.540942615,1.007104833,0.015022707,0.247827306,0.279663438,1.643294268,5.346456024,3524.090638,0.000826922,0.798128327,0.700221104,1.170776718,1.468320683,1.201147144,1.693244949,0.967080892,0.906820098,2.989212722,0.862308144,0.03121356,0.003659834,-0.167081399,19.07729894,115.3099793,3.45E-06,69.40355637,184.7135356,10.10140812,2.642690599,28.38969611,0.812911299,1.00047708,0.047142407,4.880551038,3.698334537,0.42580632,0.009574171
Experiment,,1,1,99,2.008544533,0.545246567,-3.552301308,-3.285913959,-1.078501004,2.761273808,2.656507066,0.059560622,0.660213617,3.010630999,0.852063798,0.486556429,0.0013426,0.000406094,1.262596632,4735.656305,0.901474161,0.213830808,0.020916757,5.805344987,8.019938979,0.999584417,1.580568507,3.234397845,1.328769475,365.4610787,33.74495561,0.296340588,0.505580381,0.263782797,0.974849466,0.088062666,0.550247834,0.11378646,30.34305608,2.246274897,1.59739113,0.510693338,0.000446137,1.641532196,19319.32886,0.278605913,0.35684481,2.39412759,0.910222989,0.029112828,0.293577142,0.739343016,1.482313262,9.135069537,3405.328581,0.000722787,0.952985655,0.337600724,0.933805663,1.587588952,1.530322537,1.574263758,1.05956693,0.750393379,2.880331432,0.615260617,0.044741607,-0.001825852,-0.16422028,14.19402701,115.7614481,2.55E-06,54.09767791,169.859126,4.437246807,8.600307309,33.03848342,0.73084745,1.186148983,0.058861787,2.806066657,3.306999242,0.563981954,0.01096147
Experiment,,1,1,100,1.652302366,0.523163638,-3.541105054,-2.399674708,-0.82540289,2.375934263,5.647692598,0.744027404,0.873599477,1.225884929,0.676306086,0.335769709,0.001672961,0.000139347,3.341006006,4269.947099,0.431514669,0.336589235,0.051557667,5.72469028,6.767752393,1.117078255,3.072870776,2.441910366,2.658585518,324.302371,12.02835672,0.831368759,0.458239909,0.345649489,1.277400287,0.01873409,0.15473183,0.158485932,42.26291527,1.007590775,1.018838088,0.646207136,0.000585424,1.257684995,23943.75622,0.593414727,0.659200903,3.043920779,1.856912764,0.035140307,0.17125361,0.264722495,1.650443139,7.255833992,3644.472031,0.000180034,0.622644258,0.436530185,0.998783815,1.729929183,1.901445866,1.741778165,1.5701492,1.298993035,4.427375749,0.618477479,0.058689975,0.000716719,-0.153071567,20.47119689,81.21124594,4.12E-06,33.75975055,114.9709965,5.78282962,6.2586246,32.5844554,0.952334895,0.955691939,0.014023149,0.928303734,2.875781042,0.616625763,0.009496041
Experiment,,1,1,101,2.645597783,0.564925623,-3.4834806,-4.519202682,-1.459496661,2.370253191,4.4254206,0.433596865,1.147012018,3.334368268,0.547249212,0.413219637,0.001046649,0.000724152,1.0258733,3052.153537,0.864799079,0.389985973,0.016709984,5.53911661,3.930197122,1.989749489,3.115969933,2.175729067,1.204510675,376.0589108,24.18883957,0.413413797,0.770776078,0.391880526,1.448254118,0.041597149,0.171609907,0.352947228,94.11926079,1.404374634,0.680499352,0.262943337,0.000536419,1.505758873,36565.20289,0.544248719,0.656149389,2.618525396,0.867893788,0.013573602,0.147664558,0.128447324,2.486425204,3.103347383,839.5415305,0.000133859,1.055265207,0.32813915,0.510668091,1.41700495,2.465015018,1.271978656,1.147452539,1.697776678,3.529416666,0.66231034,0.056286072,0.00231763,-0.152953863,20.33076853,128.8177204,3.04E-06,22.08990423,150.9076246,3.230245439,6.606701392,35.52916007,0.866826198,0.872960105,0.044669673,5.500594979,0.994872108,0.134394645,0.010023209
Experiment,,1,1,102,2.098910062,0.376145418,-2.878328676,-2.065639749,-0.848334378,2.225844137,2.543912474,0.486857559,1.110969426,0.453335969,0.78634336,1.573678702,0.001041736,0.000659491,2.183738771,3215.01222,0.758110461,0.425918189,0.057629371,4.206231699,7.580983608,2.512008053,2.946197021,3.028145069,4.306915462,396.707067,27.68379296,0.361222178,0.412313777,0.37978195,1.403541989,0.022867802,0.045461463,0.394555698,105.2148527,4.527919533,1.504312215,0.136674245,0.000708382,1.754983119,20688.8303,0.871354753,0.353269591,2.336375371,1.122501473,0.032431525,0.135217616,0.601356253,2.218635676,4.751072761,958.7170882,0.000531088,0.747779328,0.350618627,0.993050735,2.056890702,3.778211166,1.945193063,1.507207706,2.013735423,2.636583728,0.458343699,0.074242604,0.001094638,-0.143097676,17.56032298,107.8824371,3.26E-06,25.2841857,133.1666228,8.716362523,10.43480167,35.77185758,0.757940366,1.050247916,0.045530341,3.979392512,1.357316931,0.287278914,0.008540005
Experiment,,1,1,103,2.604684775,0.606156377,-3.205087137,-3.152908704,-1.172843333,2.540951885,5.630749881,0.476512781,0.73763792,0.944991556,0.512273622,1.401443013,0.001516048,0.000650816,1.651065219,3276.39693,0.699990555,0.818677924,0.020661683,5.079625561,1.480928881,2.32046685,2.686819161,2.894372632,1.966694067,309.2694247,26.84655657,0.372487249,0.608402917,0.201610356,0.745081749,0.012543932,0.072963675,0.226668261,60.4448697,3.648193312,1.99356891,0.279859823,0.000378079,1.211589466,28705.22999,0.282995852,0.807951226,2.252627227,1.943855957,0.014368125,0.102486792,0.7329239,3.007539845,6.819346258,3179.768524,5.44E-05,0.997385668,2.133404265,1.384895109,2.121446176,0.536431316,1.501839144,1.257932445,2.281091307,5.088130846,1.005434818,0.092631925,-0.005962143,-0.138808245,17.20179583,92.24566439,1.88E-06,29.20313146,121.4487959,10.88629918,6.289576615,33.72885194,0.713256984,0.746610363,0.040056706,2.465970585,1.173640625,0.054470384,0.013308628
Experiment,,1,1,104,2.459100339,0.340192959,-3.185752037,-3.576806287,-1.229536763,0.914077868,6.731462895,0.580512424,1.228967527,2.007796826,0.864721766,0.824831172,0.00149692,0.000704477,3.455823439,3178.609165,0.54781809,0.688548883,0.043611217,5.465504509,4.116547262,2.133563962,2.123667765,3.260532325,1.127950708,406.3006184,24.96271278,0.400597487,0.122129606,0.076060117,0.281091735,0.075215134,0.139758857,0.320332458,85.42198887,4.295354091,0.61549587,0.001744835,0.000681221,1.482691072,16879.0855,0.827253662,0.76744289,2.441888177,1.034681352,0.048865384,0.240166307,0.292948421,0.84609988,7.133745622,971.4665251,6.48E-05,0.830589626,0.713149112,0.898665009,0.493852032,2.010875247,1.342930116,1.510145122,2.258608835,4.395576369,0.872275339,0.071689935,-0.006663803,-0.152431114,14.29169353,79.49721434,5.78E-06,79.50105989,158.9982742,6.122292271,7.499042433,29.3593492,0.744735698,1.702540007,0.05971289,4.853282461,2.232745311,0.705488014,0.010855534
Experiment,,1,1,105,2.244677814,0.526271277,-3.074260331,-2.352921891,-0.936548261,2.852719338,5.042044429,0.514067918,1.385375754,2.252754112,0.682469426,1.23525168,0.001479186,0.000795739,1.877429251,1712.574211,0.969174478,0.176863133,0.027209397,2.308070233,9.766414638,0.273421265,1.892801705,1.758325634,3.195743788,444.538627,20.10172447,0.497469758,0.279891394,0.308713853,1.14089902,0.034620777,0.103522009,0.087300401,23.28010683,2.069370742,1.908042905,0.395410552,0.000210358,1.684302745,13482.60908,0.488586106,0.788391299,3.136620658,1.159258566,0.020439159,0.220520458,0.101966232,1.098830817,5.167753139,5494.061976,0.000174258,1.190251523,0.607586576,0.953296585,3.190602263,1.430981309,1.421866469,1.306088065,1.908615618,1.723514562,0.725584118,0.065401936,0.000987852,-0.148659154,20.65343515,94.83528463,5.19E-06,62.50401976,157.3393044,6.636541891,6.426833505,35.24327277,0.721674384,1.038147143,0.062201295,3.003401421,1.027029713,0.097955446,0.009854484
Experiment,,1,1,106,2.383449494,0.547244817,-3.157399849,-2.762491423,-1.048247418,1.188555245,2.983996992,0.536190058,2.269296042,0.937964312,0.822563035,1.135006427,0.001443516,0.000949549,2.692056188,2168.566913,0.966731345,0.297482277,0.029080529,0.828859716,5.524078271,2.142738849,2.406757809,2.661354271,1.947246468,482.4752578,5.481565295,1.82429643,0.431844095,0.318899682,1.178542302,0.012000712,0.299782569,0.405276913,108.0738436,3.731132246,2.119902861,0.282160724,0.000652541,1.115687155,17217.83188,0.921875813,0.92943449,2.750996778,1.004714744,0.028690857,0.164957501,0.945191969,0.927199346,4.170775607,1832.397695,7.31E-05,0.773177972,1.427202172,0.735595058,1.984981584,0.643533162,0.883871659,1.860006355,2.100736021,0.642232055,0.763856049,0.067168043,0.003226798,-0.145330519,16.13359781,61.59680097,2.64E-06,35.75393098,97.35073195,2.494346856,5.919026091,37.5506191,0.950089855,0.850481239,0.092740213,5.6084778,2.041865268,0.731793771,0.008817001
Experiment,,1,1,107,2.628233725,0.597901434,-3.560969247,-4.765083173,-1.506046313,1.237804837,4.906988693,0.752796407,2.183391441,1.58687818,0.414309632,1.22261277,0.001492232,0.000906977,2.607863487,3229.014318,0.749354679,0.560242389,0.022755852,1.171841905,8.383039302,0.948350447,3.946234253,2.011858027,5.668654179,413.3349105,33.36208951,0.299741418,0.223829444,0.275775524,1.019170413,0.048581881,0.260974733,0.330516365,88.13769728,0.919052179,1.375559659,0.548547102,0.000513623,1.604245232,23618.23343,0.474638096,0.774355258,2.470003826,0.632782298,0.01793729,0.197674121,0.244333151,2.813227632,8.158073029,1615.745318,0.00025958,0.863327546,0.550028529,0.634938293,0.948112415,2.303183123,1.465099187,0.747264055,0.579604868,3.462958343,0.788151547,0.096550061,-0.005236847,-0.135665459,15.73842104,94.41033547,3.00E-06,57.25869948,151.6690349,9.11272667,6.699580843,38.20868526,0.888458759,0.943043408,0.038548752,1.375258957,3.105195913,0.090946065,0.011621406
Experiment,,1,1,108,2.789179088,0.425633618,-3.443195009,-5.126024592,-1.612356604,1.896210556,7.317460712,0.19469525,0.742581679,1.415771913,0.747312472,0.837375673,0.001553839,0.000837785,2.448024225,9878.94366,0.797003453,0.585414948,0.019522156,3.22901585,5.128669218,2.482313081,2.164223496,2.273703624,0.746462356,477.3407401,35.12784523,0.284674449,0.740301779,0.366432838,1.354208316,0.054429877,0.08937685,0.13426161,35.80309609,0.679805219,0.975108616,0.734458012,0.000174572,1.546622326,13915.91531,0.762654396,0.148978209,2.693467263,1.359916744,0.010763019,0.12736007,0.989310175,2.731280802,5.318828976,1499.498238,0.000505965,1.21330785,1.093514572,0.785011634,1.568712198,0.947041368,1.922521778,1.60246706,1.84667521,1.461731478,0.695855171,0.046979971,0.003492676,-0.157520682,14.59302136,125.8575372,5.84E-06,16.50008288,142.35762,4.673026319,3.807026369,38.5771458,0.848125726,0.935101029,0.038708339,5.987149127,2.899849109,0.203715928,0.01407676
Experiment,,1,1,109,2.809571685,0.407340368,-2.854413044,-2.929904638,-1.169152801,2.215433169,3.277770694,0.774807314,1.75654578,1.361754024,0.496220595,0.928979598,0.001136289,0.000507368,2.985446182,1375.127687,0.237703521,0.506371219,0.044571457,1.08652989,5.608294929,0.198383865,1.826198099,2.371481314,1.226369813,383.2899117,14.07516625,0.710471182,0.926089229,0.411776557,1.52178293,0.046486423,0.16374058,0.349662874,93.24343313,7.321013333,2.401018981,0.617394094,0.00087058,1.421162938,10742.95465,0.455081004,0.886356083,2.698620003,0.843877086,0.029236724,0.22602693,0.960562243,2.163128839,11.31564755,2077.049922,0.000217662,1.063686183,0.663616771,1.488169453,1.455622858,3.351200726,1.733185601,1.198460876,2.024448284,2.694112128,0.561174934,0.09758028,0.000278163,-0.129514804,16.96696622,144.8397176,2.21E-06,18.02011526,162.8598329,7.797279619,2.791620234,39.15669025,0.828208498,1.728660955,0.048028182,4.287056621,1.313835717,0.151471867,0.012076262
Experiment,,1,1,110,2.465740837,0.463765047,-3.080946397,-2.910138453,-1.095086725,2.246997487,2.342783472,0.255869273,1.286273,2.372302203,0.878055165,0.133737724,0.001059353,0.000466051,1.521064001,1814.144349,0.979192506,0.874719849,0.035308728,4.404189877,7.558764851,0.431576855,3.680404618,1.470240435,3.73203924,428.1303349,13.09310484,0.763760783,0.456893419,0.177815931,0.657145831,0.063297443,0.124327559,0.124699473,33.2531929,2.940807977,1.257245593,0.439393483,0.000385417,1.632042552,5192.175031,0.660062428,0.81468545,3.036258446,0.355828137,0.01466802,0.178705607,0.065339872,0.968271019,8.605651864,988.8736806,0.000149006,0.894370888,1.749343974,1.502827661,0.804043055,1.406061741,1.809065823,1.658641407,2.968615236,3.582993783,0.806429359,0.087050503,0.00374578,-0.13254406,22.76530096,111.3840982,3.89E-06,72.57822593,183.9623241,7.802915704,3.655553835,37.9567152,0.839637571,1.764073911,0.040885783,1.070615377,3.396161064,0.168405292,0.009518961
Experiment,,1,1,111,2.769819477,0.319024516,-3.367864823,-5.036420142,-1.590160217,4.025659394,1.601557725,0.722906237,1.56074879,4.01059133,0.915734038,0.51049468,0.001178679,0.000799869,1.134016344,1762.383939,0.60461853,0.775295955,0.05004413,6.372280632,5.184979075,2.124307717,2.966271625,2.917066003,0.707668956,436.2030775,18.19846684,0.549496839,0.512216022,0.151560725,0.560115722,0.05299043,0.070178713,0.304299915,81.146644,2.665302399,1.031667857,0.067254566,0.000158006,1.910421734,13688.05608,0.124716352,0.923409059,2.735012841,0.930757094,0.031711814,0.306357787,0.19359561,2.750487724,5.556883528,1678.423756,0.000537916,1.120371601,0.975949568,1.5139155,1.209259939,1.363371501,1.485583382,1.163414916,1.58025087,4.669609304,0.99905089,0.110464918,-0.000342932,-0.122186077,17.08191549,73.37192935,1.79E-06,42.23055656,115.6024859,8.309969388,7.312924811,40.4900552,0.818476856,1.590210701,0.076992861,3.385508926,0.617040247,0.43329133,0.012461534
Experiment,,1,1,112,2.160749371,0.383985745,-3.485832628,-3.967652082,-1.248378305,2.136490764,6.976476534,0.893459077,0.822836658,2.384962154,0.612202182,0.498982539,0.001758675,0.000595037,1.708382543,2259.143409,0.89385041,0.770448869,0.031033262,5.203799629,3.637182413,2.285338077,3.656345001,3.077408402,0.656257152,395.6634143,21.33739929,0.468660677,0.591147443,0.267625637,0.989051266,0.092220377,0.128219118,0.274895612,73.30549641,2.423200359,1.709932324,0.329680329,0.000769638,1.969883402,9652.379358,0.52427924,0.646273128,2.477198009,0.611599835,0.022753784,0.256990194,0.269030595,1.722165208,7.812484914,623.3443285,0.000343201,1.202968055,0.455626477,0.464868666,1.34769483,0.734549041,0.889236839,1.607123498,2.414488254,0.726415806,0.604720437,0.094947624,0.00563618,-0.125781136,18.51024471,83.10022991,3.08E-06,39.08628695,122.1865169,9.673637706,6.194431031,36.33134219,0.789066475,1.001739848,0.106333933,0.841514354,2.458547441,0.646627014,0.00971325
Experiment,,1,1,113,1.614336392,0.565608622,-3.293478742,-1.572258763,-0.649121355,4.367394843,2.041363074,0.468654452,0.850272491,0.885347925,0.482699259,0.679000189,0.001254919,0.000412194,1.983255807,3197.608445,0.507209866,0.29909253,0.030084711,3.142644113,0.871627576,0.515276167,3.7992182,2.450664766,2.086742789,453.4144947,36.40320579,0.274701081,0.025034044,0.195930135,0.724089628,0.028805332,0.037404579,0.106512587,28.4033565,1.125706504,1.448031156,0.004298836,0.000656559,1.978149951,29649.30841,0.751460281,0.926808984,2.911495007,1.548715773,0.020987056,0.317860112,0.843696308,2.67504757,7.296965884,1874.057077,0.00025347,0.85843132,0.617396441,1.089771607,2.538793886,1.913206313,1.476029043,0.841069793,1.753909693,2.557951598,0.549677283,0.063775505,0.004274938,-0.146375576,20.05056624,118.864484,2.67E-06,64.56220625,183.4266902,6.328042616,6.458776533,39.36171568,0.685960877,1.125329204,0.013151403,2.916519788,3.851747402,0.414992035,0.010548694
Experiment,,1,1,114,2.285787614,0.645299368,-2.800153334,-1.532868762,-0.777874591,2.754723994,3.98188578,0.884626207,1.433607207,1.19117488,0.64547382,0.857424708,0.00142042,0.000136466,2.474609707,1250.176617,0.345904733,0.647983371,0.048618329,1.060624037,1.116371063,0.808443027,1.53388942,2.633997593,0.834739114,306.4445826,14.53042149,0.688211282,0.32134687,0.165872705,0.613007821,0.045230585,0.134934751,0.082227842,21.92742464,0.469027404,0.987687094,0.042037037,0.000395034,1.83488513,17525.94557,0.640811337,0.116451493,2.491529828,1.306227586,0.018597281,0.175150273,0.892810198,0.956008221,6.995276491,3858.334584,0.00056772,1.177804279,3.415986578,0.865871516,1.873716636,1.16197915,1.978742349,1.512943937,2.443384881,1.115371129,0.75570425,0.045883494,-0.00031002,-0.161999904,14.61680939,97.6309007,2.70E-06,21.16674566,118.7976464,5.045027077,5.268409082,30.7944243,0.93807084,1.90027459,0.055489731,2.982943299,0.505550006,0.720303295,0.012029385
